company,name,location,salary,edu,experience,skills,demand,发布日期
同程旅行,全栈工程师,北京,20-30K·15薪,本科,3-5年,全栈侧重后端,职位描述：1、参与建设最前沿的AI大模型应用，能独立承担前后端工作，具备小程序开发经验；2、不断优化和提升用户体验、业务性能、技术架构；3、快速响应线上问题，定位解决疑难杂症，并提炼最佳实践；4、积极关注大模型领域的发展，持续学习、调研先进技术，提出业务创新和改进建议并推动快速落地。职位要求：1、计算机科学、软件工程或相关专业本科及以上学历，具备3年以上全栈（偏后端）开发工作经验；2、熟练掌握前端开发技术，包括HTML5、CSS3、JavaScript，熟悉至少一种主流前端框架（如React、Vue等）；3、具备后端开发经验，熟练使用至少一种后端开发语言（如Java、Python、Node.js等），并了解相关的开发框架和数据库技术；4、具备小程序开发经验，熟悉小程序的开发框架和API，能够完成小程序的前后端开发工作；5、具备良好的团队协作和沟通能力，能够主动发现和解决问题；6、对新技术保持敏锐的洞察力，具备较强的学习能力和创新能力，有开源项目相关经验更佳。加分项：有移动端开发经验，包括响应式设计和移动端性能优化经验者优先。,2024-02-03
小米汽车科技有限公司,自动驾驶研发效能全栈工程师,北京,3-8K·14薪,硕士,经验不限,全栈项目经验 效能 jekins gerrit,职位描述1、设计并实现研发效能系统，通过平台和工具提高研发效率，缩短项目整体迭代周期；2、负责复杂软件系统的分支策略和版本发布，通过工具和流程支撑软件的持续迭代;3、利用各种工具提升软件代码质量，建立自动化测试流水线，推动测试左移；4、引进行业研发效能优秀方法和实践，建立和优化效能指标，持续改进效能平台。,2024-06-23
小米,自动驾驶-高精地图Java后台开发工程师,北京,25-50K·15薪,本科,5-10年,Java Spring MySQL 后端开发 Linux,职位描述1. 负责高精地图生产平台后台数据处理服务模块；2. 参与项目需求分析、设计，产品等业务需求确定；；3. 能独立完成相关业务的核心编码，根据开发计划，保证开发进度和质量；4. 制定服务接口，与其他模块集成；5. 及时响应并处理线上问题，保障业务的的稳定运行；职位要求1. 熟练掌握Java，熟悉基础软件结构设计；2. 熟练使用MySQL、Oracle等其中一种关系型数据库，熟练掌握SQL；3. 熟练使用SpringBoot，MyBatis等开源框架；4. GIS、地图行业研发经验优先，有商业交付经验者优先；5. 有Linux后台开发经验优先。,2024-01-21
智睿宝,JAVA大数据工程师,北京,13-22K,大专,3-5年,Java 分布式技术 搜索引擎技术 容器技术 Redis HBase 大数据 商业智能,职位诱惑：央企办公环境、有提高管理能力的空间职位描述：岗位职责：1. 参与平台产品需求研讨、技术架构设计、技术选型及落地规划等；2. 引导新技术预言及实施，参与基础设施的搭建及运维；3. 负责系统核心代码编写和按时交付，保证交付质量；4. 与上下游团队配合，完成产品或项目研发任职要求：1. 专业从事后端系统开发3年以上，有大型互联网项目经验或医院信息化产品研发经验者优先；2. 熟练掌握Spring、Spring Boot、Spring MVC、MyBatis等框架的配置和使用。3. 熟悉分布式系统基础设施中常用技术，如Redis缓存、MQ消息中间件、ES搜索引擎等；4. 熟悉微服务开发框架 SpringCloud，有服务治理经验及对service mesh实践经验者优先；5. 对系统高并发、高可用、高性能设计有成熟的方法论及实践经验者优先；6. 了解Docker、CI/CD、自动化运维相关技术；7. 具有BI开发经验者优先。以下经验者优先考虑：1、熟悉Python、Scala等语言2、数据MapReduce、hive、Sqoop等主流大数据技术 素质要求：1.有责任心，有较强的学习能力；2.具备良好的沟通及语言表达能力；3.具备团队协作精神；4.具备一定抗压能力；5.有很强的独立工作能力和解决问题的能力。,2024-11-19
华为,大数据开发工程师,南京,15-30K,本科,经验不限,Java Scala,"工作职责：1. 负责基于Hadoop/Spark生态系统的大数据计算和挖掘研发；2. 负责基于Flink/SparkStreaming技术进行实时数据处理、特征引擎的开发；3. 负责在线/离线海量数据功能分析处理的开发；4. 负责参与大数据应用需求分析、功能模块详细设计和相关文档的交付；任职要求：1. 熟悉Hadoop,Spark,HDFS,Kafka,Redis,Hive,HBase,,druid等分布式系统框架和工作原理；2. 熟练使用Scala,Pyhon,Java任一语言;3. 熟悉SparkStreaming，SparkSql, Flink, Apache Beam等组件,熟悉HiveSql等语言，并且能够性能调优;4. 熟悉数据挖掘算法、模型的优先;",2024-08-14
华为,大数据搜索工程师,西安,20-40K,本科,3-5年,搜索引擎 elasticsearc solr,【岗位职责】1、负责大数据平台搜索引擎产设计和开发；2、负责搜索引擎生态圈组件维护，开源社区动态跟踪、竞争力分析和规划技术演进；【任职要求】 1、精通Java开发语言，具备Linux环境开发经验；2、有分布式软件开发经验，熟悉Solr/Elasticsearch中至少一个组件。,2024-05-20
华为,华为云物联网(IoT)云服务高级工程师-JAVA,广州,20-40K·16薪,本科,3-5年,多线程 Redis 微服务架构 容器技术 SpringCloud Netty 后端开发,【工作职责】1．主导云服务系统模块的设计、代码编写；2．负责模块架构看护等工作，并解决模块架构中的关键问题；3．研究业界最新软件技术和应用，将研究结果落地产品，提升技术竞争力。【业务技能】1．2年以上Java开发工作经验，1年以上模块分析、设计经验；2．熟悉互联网通用技术栈，如：Java，Kafka，Redis，k8s，Docker等，熟悉DevOps交付理念，对于敏捷流程有一定实践经验；3．熟悉 JAVA 多线程、TCP/IP通信协议、微服务开发框架、常用设计模式、有大型、高并发分布式系统的开发经验；4．对于SaaS服务、Cloud Native架构有实践经验者优先，有物联网工作经验优先；5．认可面向未来的IoT战略业务，热爱技术创新，有追求卓越的品质。,2024-10-17
华为,web前端、后端、测试、大数据、算法工程师,北京,15-30K·16薪,本科,经验不限,Python C++ Java 不接受居家办公 JS,1、统招全日制本科及以上学历；2、熟悉Java/C/C++/Python/GO等其中一种主流开发语言，有相关工作经验优先；3、热衷前沿技术的探索，能快速掌握和理解新技术；4、有较强的学习能力、良好的团队协作能力、良好的沟通表达能力。部门亮点：1、大平台，机会多。2、岗位全，拼实力，设置前端、后端、开发、算法、AI、运维、安全等等岗位，你想要的，这里统统都有！3、不内卷，不PUA，常年战斗在反卷反PUA的第一线，不苛求员工加量不加价的性价比，坚决贯彻落实多劳多得的指导方针，引导员工把精力聚焦在提高效率和自身成长上。4、爱分享，氛围好，经常举行各领域技术分享会，可以和全球的架构专家、互联网大牛、大数据专家、网络安全大咖等面对面交流，兵合一处将打一家，部门之内皆兄弟，把酒言欢话桑麻。5、肩并肩，手牵手，会给每位新员工分配1名技术导师，优秀的人培养更优秀的你。,2024-04-01
华为,Hadoop 软件开发工程师,深圳,20-40K,本科,经验不限,Hadoop Java Linux,【岗位职责】1、负责Hadoop管理平台/数据挖掘平台/图数据库的开发和维护；2、负责Hadoop内核问题分析，定位，修改及开源社区的动态跟踪。【岗位要求】1、精通Java/Scala/Python/C/C++/JavaScript/JSP中的一种或多种；2、有完整的项目开发经验，系统核心模块看护经验者优先；3、有大数据Hadoop/HBase/Flume/Kafka/Flink /Hive/Spark等开源大数据技术相关经验者优先。4、有GIS、LBS等数据挖掘算法优先；5、有Angular、Jquery、Spring、Tomcat、Restful经验者优先。,2024-09-28
上海特赛发信息科技,chatgpt-预训练NLP算法专家,上海,40-70K,硕士,1-3年,业务导向 搜索/推荐 语音/图像识别 翻译 Python CNN/RNN/LSTM 计算机相关专业 机器学习算法/工程化经验 有国际期刊/会议论文发表,"预训练NLP算法专家岗位职责：1. 从事大规模预训练模型（LLM）研究、训练、应用，包括但不限于多语言、多模态、训练任务优化、下游任务迁移、知识融入更新、模型性能提升等2. 从事文本/图像/视频内容理解工作，应用CV、NLP等技术时刻保持技术先进性，将业界SOTA模型落地并改进以获取业务收益，服务用户。3. 利用深度学习等前沿技术，开展多模预训练、跨模态检索、多模内容理解等算法工作，支持公司垂类chatgpt的预训练模型的研发岗位要求：1.计算机、数学或统计学相关专业硕士及以上学历，具有2年以上计算机NLP/CV相关工作经验；2.在自然语言理解、计算机规觉、多模态、深度学习等领域有较深入的研究，熟练使用pytorch/tensonfow等至少一种主流深度学习框架，能够独立实现前沿模型，有NLP/ML顶会发表经验者（ACL/EMNLP/SIGIR/KDD/NeurIPS等）优先；3.对LLM、多模态学习有深入理解和实践，有预训练、可控内容生成方向经验者优先；4.熟悉学界、业界最新研究成果，包括但不限于instructGPT、LLaMA、LaMDA,国内的悟道、M6等大模型。5.熟练掌握 NanoGPT minGPT等开源GPT算法的训练范式，对于从0构建一个可训练NLP大模型的pipeline烂熟于心。6.熟练掌握预训练模型数据集的构建方法，能对数据标准进行质量把控7、思维敏捷，快码手。8、熟练掌握zero-shot one-shot few-shot等基本范式，对meta-learning，context-learning原理有深入理解。9.具备良好的逻辑思维能力、沟通协作能力、自我学习能力，保持对事物的好奇心。工作地点：上海市宝山区长江西路2687号小白楼。薪资40-70K/月",2024-01-10
