企业名称,招聘岗位,工作城市,工作区域,最低月薪,最高月薪,职位描述,学历要求,要求经验,招聘人数,招聘类别,初级分类,公司地点,工作地点,招聘发布日期,招聘结束日期,招聘发布年份,招聘结束年份,来源
牧原肉食品有限公司,运筹优化算法工程师 (MJ011144),南阳,内乡县,20000.0,35000.0,【岗位介绍】在这里，你将从事实际业务梳理，将实际业务问题转化为数学模型，通过算法求解模型，并将模型模块化标准化通用化平台化，为各种客户提供有价值的智能决策服务。通过把算法和精益咨询工作的融合，接触最前沿的智能决策算法和模型求解技术，成为智能决策领域全方位的专家；【岗位职责】：1、负责运筹优化、机器学习、深度学习等前沿算法和技术在屠宰业务场景中的创新应用和落地实践，共建智能工厂，助力企业数字化转型；2、负责数据驱动的决策优化算法，将系统优化和机器学习等技术有效结合并应用于智能调度、线路规划、收益管理等；3、负责核心算法模块的持续优化和改进，沉淀不同场景解决方案，推动算法中台建设；【任职要求】1、有数学建模经验，期望通过算法推动行业进步；2、熟悉运筹优化，了解凸优化、整数规划和智能优化算法；3、专业：运筹学、统计学、数学、计算机、自动化等；,学历不限,不限,10,全职,,内乡牧原肉食品有限公司,内乡牧原肉食品有限公司,2022-11-05,2022-12-06,2022.0,2022.0,智联招聘
深圳市鼎驰科技发展有限公司,数据开发/数据分析-双休-不加班,深圳,福田区,14000.0,19000.0,1、熟练掌握Hadoop、Hive、Spark、ES、Flink等至少两种以上大数据相关平台和技术组件；2、熟练掌握SQL，熟悉Java；了解Python或Scala语言优先；3、熟悉大数据仓库和Oracle关系数据库，有较好的SQL编程能力和良好的设计与编程习惯，具备一定的SQL调优能力；4、3年及以上IT开发相关工作经验，本科及以上计算机相关学历；5、认真仔细、踏实肯干，有上进心和求知欲，善于学习和运用新知识，善于思考分析，善于沟通和逻辑表达，有团队意识和执行力；岗位一：南山梦海地铁站：要求英语流利，熟悉python，有云平台开发经验优先，福利：六险一金，双休，入职享有12天年假，上班不打卡，环境非常舒适 岗位二：福田地铁站：有证券，银行，保险，金融项目经验，计算机相关专业，福利：六险一金，双休，有免费早，午两餐，加班有餐补及调休，月度评优奖等。 岗位三：位置同岗位二，是数据分析岗，有证券，银行，保险，金融项目经验，有百万级数据处理经验优先，福利同上,本科,3-5年,5,全职,,荣超商务中心A座,荣超商务中心A座,2022-08-11,2022-09-11,2022.0,2022.0,智联招聘
山东产业技术研究院,AI算法工程师（先进材料院）,济南,历城,0.0,0.0,岗位职责: 该岗位隶属于先进材料院 1.负责材料大数据产品的算法设计，能够将模型算法应用到具体场景中； 2.根据业务进行算法优化、模型封装与接口设计，确定最有效的算法； 3.研究典型场景的AI应用算法与模型实现，形成AI应用解决方案； 4.负责产品关键算法的开发实现，包括模型验证、模型训练、落地实施等。 任职要求: 1.计算机或数学相关专业，特别优秀者学历可放宽至本科，5年左右相关工作经验； 2.精通Python、Java等编程语言中的一种； 3.能熟练使用Caffe2、Theano、TensorFlow等主流的深度学习框架； 4.有大数据处理经验，熟悉Hadoop或者Spark等分布式处理平台； 5.具有机器学习的算法基础和项目实战经验； 6.具有优秀的沟通和表达能力，团队合作意识。,硕士,5-10年,10,全职,,港兴三路未来创业广场3号楼,港兴三路未来创业广场3号楼,2022-11-24,2022-12-24,2022.0,2022.0,智联招聘
北京蓝飞信息科技有限公司,商业数据分析师,天津,河西,6000.0,8000.0,任职要求：1、须已毕业的大专及本科以上学历，年龄20-28之间；2、签订正式合同、五险一金；3、无经验者，由公司项目经理带;岗位职责：1、负责收集分公司、项目部的各类月度、季度、年度统计报表，并汇集、综合整理成公司的统计报表，及时上报上级部门，分析各项统计数据，经常向领导、有关部门提供各类统计信息、分析资料等。2、检查计划完成情况，提供、编制检查计划完成情况和各类数据。3、建立、健全统计台帐，及时、完整、系统地积累各项统计资料，按归档要求，按时归档。职位要求 ：1、有志于IT、金融行业长远发展（金融、经济学专业可放宽至大专）；或对金融、IT行业有强烈意愿者。2、良好的沟通能力，很好的亲和力和较强的人际交往能力；3、精力充沛，喜爱竞争挑战和有强烈成功欲望；4、遵守纪侓和行业规范，具有敬业精神及团队合作意识；5、正直诚信，忠于企业，传承企业文化，愿意与企业一起发展成长；【温馨提示】：每日简历投递量非常大，欢迎主动与我联系。,大专,不限,5,全职,,国鑫大厦,国鑫大厦,2022-11-26,2022-12-27,2022.0,2022.0,智联招聘
上海慧姿化妆品有限公司,计算机视觉　深度学习算法工程师,上海,,20000.0,30000.0,岗位要求：１.精通多视角立体视觉算法的一个或多个方向：如多相机标定，双目立体视觉，基于结构光的单目立体视觉，结构光图像编解码等；２.熟悉计算机视觉、生物识别、人像识别、机器深度学习。３.本科及以上学历，机器视觉、图像/图形处理相关专业；,硕士,3-5年,2,全职,,松江区九亭镇沪松公路1251号,松江区九亭镇沪松公路1251号,2022-09-08,2022-10-09,2022.0,2022.0,智联招聘
徐州正尔商贸有限公司,SLAM算法工程师,徐州,鼓楼区,13000.0,17000.0,"1、本科以上学历，两年以上工作经验2、掌握SLAM基础理论及算法，以SLAM算法为专业研究方向者优先，有成熟SLAM产品者优先；3、熟悉ROS，熟悉机器人导航及传感器标定，姿态估计；4、掌握基础算法知识，如EKF、UKF、PF等；5、熟悉PID控制算法、最小二乘算法、马尔科夫定位算法、蒙特卡洛算法；6、具有多传感器融合的理论和实践经验；7、 熟悉常用开源激光SLAM项目如：Cartographer、HectorSLAM、Gmapping、KartoSLAM、CoreSLAM、LagoSLAM等；8、具有较强的编程能力，熟悉C/C++,python；9、扎实的数学功底，能够推导传感器中常用的数据转换，滤波公式；有能力阅读最新学术论文，具备创新精神",本科,1-3年,5,全职,,宝莲寺路与洞山南路交叉口,宝莲寺路与洞山南路交叉口,2022-08-05,2022-09-05,2022.0,2022.0,智联招聘
广州国开信息科技有限公司,大数据分析师,乌鲁木齐,沙依巴克区,10000.0,15000.0,"岗位职责： 1、分析客户需求，理解客户业务； 2、负责对数据进行深度分析和挖掘，创建大数据分析流程，进行数据探索分析，构建分析模型为优化产品涉及提供数据支持； 3、探索金融征信行业发展趋势，跟踪数据挖掘和数据分析领域的技术发展方向； 4、与业务团队紧密沟通和联系，解决部门数据统计和分析需求。 任职要求： 1、计算机、数学、统计、金融等相关专业，3年及以上相关开发经验； 2、熟悉Oracle，DB2、MYSQL中至少一种主流数据库软件； 3、统计学知识和软件使用经验优先（SAS、SPSS等），熟悉决策树、聚类、逻辑回归、关联分析、SVM、贝叶斯等数据挖掘算法，有数据挖掘项目经验； 4、有分布式运算相关开发经验，有Hadoop,Hive,Mapreduce,Storm,Spark等相关开发经验优先； 5、具有极强的学习能力和业务理解能力，良好的沟通和团队合作能力； 6、有银行、信贷、电商、互联网等行业经验优先。 公司介绍： 广州国开信息科技有限公司是一家着力于金融软件产品开发、研究为主的信息科技公司，总部设立于广州天河软件园华景园区，在北京、长沙、江西、上海、武汉、新疆、深圳、哈尔滨等全国各地设有分支机构。 公司通过软件成熟度CMMI5认证，ISO9001质量体系认证，ISO20000信息技术服务管理认证，ISO27000信息安全管理体系认证，是广州市高新技术企业和广州市研发机构。公司深耕软件开发十多年，拥有专利和软件著作权证书 60多项。 主要产品有： 银行综合前置MBP平台 统一支付平台 NETWAY互联网应用网关 小程序银行 互联网电商平台 微信银行平台 交通行业乘车APP/小程序 掌钉办公软件 ...... 公司使命:千百万企业的科技部门，IT人才的黄埔军校 公司愿景:让商业更简单，让世界充满",大专,3-5年,1,全职,,兴业银行(新疆分行营业部),兴业银行(新疆分行营业部),2022-08-29,2023-02-26,2022.0,2023.0,智联招聘
中信期货有限公司,金融科技委员会-数据科学家-期货量化与风险定价方向G00904,上海,浦东,50000.0,100000.0,岗位职责： 1、负责大数据与人工智能在期货量化和风险管理方向的研发与应用； 2、以程序量化为基础，结合学界、业界最新理论，通过数据建模、机器学习、深度学习等方法探索期货产品配置、定价、风险等研究； 3、深入研究AI、大数据、深度学习在量化择时、事件驱动、舆情分析、金融衍生品定价、客户行为预测等方面的模型、策略及算法的研究及实现； 4、负责大数据与人工智能领域前沿技术在期货业务实践和应用； 5、负责数据产品、数据模型、数据算法等成果的推广宣贯、经验分享等。 岗位要求： 1、计算机、金融工程、统计、数学等相关专业硕士研究生及以上学历； 2、5年及以上工作经历，具备期货、证券、金融企业、金融科技企业及科技企业相关工作经验； 3、熟悉期货等金融衍生品市场交易规则，现货市场以及期现结合业务模式；具有一定的量化功底，了解各种统计模型、风险评估模型、风险管理的框架和流程； 4、熟悉目前主流的机器学习、深度学习、知识图谱、自然语言处理等研究方向的原理的和基础模型，具备相关算法实施经验； 5、有良好编程功底，熟悉Python，SAS，Spark，TensorFlow等数据挖掘、机器学习工具和框架； 6、具有扎实的建模基础和经验，熟悉模型算法框架等；熟悉贝叶斯、决策树、神经网络等数据分析框架与算法、有良好的数据敏感度，善于处理大规模金融数据，具备扎实的统计知识，有独立实现数据分析、挖掘、清洗和建模的经验；有期货量化、风险度量等建模经验者优先； 7、有较强钻研、沟通和协调能力，善于发现问题并能给出具体的解决方案。,硕士,5-10年,1,全职,,陆家嘴世纪金融广场3号楼,陆家嘴世纪金融广场3号楼,2022-08-18,2022-09-18,2022.0,2022.0,智联招聘
南通大米广告传媒有限公司,数据分析师助理,南通,崇川区,5000.0,10000.0,岗位职责： 1、分析相关各类金融市场撰写分析报告、投资方案， 2、收集国际金融信息资料，加以分析预测，及时追踪国内外金融市场动态。 3、善于对宏观经济形势 和金融市场进行深入分析，为客户提供专业金融分析服务以及投资策略建议。 4、具有一定的行业与金融产品分析能力，敏锐快捷的市场反应能力和较强的风险控制意识。 5、负责配合交易员进行交易维护和咨询； 6、定期对交易员进行专业培训或技术讲座。 任职要求： 1、对金融事业高度热情，坦诚自信，高度的工作热情。 2、具有较强的逻辑思维能力、创新和钻研精神； 3、思路清楚、有良好的沟通技巧和语言表达能力，性格开朗。 4、有良好的团队合作精神及独立工作能力，有敬业精神。 5、欢迎应届毕业生参加工作。,学历不限,不限,1,全职,,南通文峰广场6号楼13层中煜科技,南通文峰广场6号楼13层中煜科技,2022-08-08,2022-09-08,2022.0,2022.0,智联招聘
北京南天信息工程有限公司,大数据开发工程师,西安,雁塔,14000.0,21000.0,入职保障：六险一金+年终奖+全勤奖+绩效奖+调薪（一年固定1-2次调薪机会） 面试情况：线上面试，发offer 岗位职责： 1、负责数据服务功能技术设计文档的编写； 2、负责业务数据的分析、集成、清洗、加工程序的开发； 3、负责数据仓库的设计、开发、优化工作； 4、负责为公司各部门的数据应用提供指导和支持。 任职要求： 1.具有3年以上的大数据开发经验，熟悉大数据、数据仓库、分布式架构技术理论，具有系统架构设计和实战经验，熟悉CDH、HDP、TDH至少一款大数据产品 2.熟悉大数据组件的开发、搭建、维护及性能优化； 3.具有较强的开发能力，能熟练使用shell、sql等开发语音，熟悉大数据生态、关系型数据库和NOSQL数据库等相关知识，能够独立完成并知道初级开发人员完成大数据相关的开发和优化工作； 4.熟悉hadoop、hbase、hive、zk等技术和组件； 5.熟练掌握spark、flink、mr任意一种计算框架； 6.具有一定的机器学习、人工智能、数据分析工作的经验者优先 公司福利： ● 六险一金：社会保险、住房公积金、补充医疗保险； ● 休假管理：带薪年假、病假、婚丧假、产假等，人性化的调休制度； ● 薪资管理：季度全勤奖、季度优秀奖、年终奖、加班补助； ● 培训体系：新员工入职培训、专业培训； ● 员工发展：科学的绩效考核及薪酬增长体系、完善的员工职业生涯规划管理； ●其他福利：员工意外险、定期体检、生日福利、结婚生子、节假日福利、每年两套服装、项目组慰问、趣味运动会、团建活动、各类公益活动等。 来源：马 克 团 队,本科,3-5年,1,全职,,中国农业银行研发中心西安研发部农行,中国农业银行研发中心西安研发部农行,2022-11-04,2022-12-05,2022.0,2022.0,智联招聘
