job_name,company_name,job_city,salary,publish_detail,company_type,company_scale,industry,job_duty,发布日期
大数据开发工程师,网宿科技股份有限公司,厦门,20-30万/年,厦门 5-7年经验 本科 招若干人 03-14发布,上市公司,1000-5000人,"通信/电信/网络设备,互联网/电子商务",岗位职责： 1.负责公司业务相关的数据统计和分析的设计开发； 2.负责对业务数据进行深度挖掘和有效利用，数据计算作业的开发与优化，充分实现数据的商业价值； 3.负责大数据平台的持续改进优化，大数据集群的线上运营及部署。 基本要求： 1.计算机及相关专业本科以上学历者优先； 2.具有两年以上相关工作经验，经验丰富者尤佳； 3.具备良好的沟通能力和文档能力； 4.具备良好的主动工作意识和能力，主动思考，主动承担，能够独挡一面； 5.具备良好的职业道德和职业素养，理解并遵守公司的制度。 技能要求： 1.精通Java语言，具有一年以上分布式系统开发和设计经验； 2.熟悉hadoop、hive、spark、yarn、kafka等大数据组件，对大数据基础架构和平台有深刻理解； 3.喜欢钻研技术，善于学习和运用新知识，具备良好的分析能力及问题处理能力； 4.有hadoop、spark、flink、druid等项目应用及性能调优经验者优先。,2026-03-14
数据仓库工程师,金蝶软件（中国）有限公司,深圳-南山区,1-1.5万/月,深圳-南山区 3-4年经验 本科 招1人 03-14发布,外资（非欧美）,5000-10000人,"计算机软件,互联网/电子商务",职位职责,2026-03-14
高级大数据产品架构师(J10824),中移（苏州）软件技术有限公司,苏州-高新区,2.5-3万/月,苏州-高新区 5-7年经验 本科 招1人 03-14发布,国企,1000-5000人,计算机软件,工作职责: 1.从事移动云大数据产品架构设计工作； 2.负责基于开源生态的移动云大数据产品核心研发工作； 3.追踪大数据领域开源社区动态，对业界大数据领域前沿技术进行研究； 4.分析和解决用户在公有云、私有云场景中大数据产品使用难题，提供专家级技术咨询和优化服务。 任职资格: 教育程度： 大学本科及以上学历（***学历为统招本科及以上，不包含独立院校），计算机等相关专业。 工作经验要求： 5年以上相关工作经验。 核心技能要求： 1.熟悉大数据产品生态圈，包括但不限于Hive、HBase、Kafka、Flink、ES、Spark等， 对架构设计和性能优化有丰富实战经验，在大数据开源社区有任职或者贡献者优先; 2.五年以上大数据技术相关工作经验，具备数据架构或数据业务咨询能力，有良好的客户沟通和管理能力； 3.具有良好的项目交付与团队协作能力，能够组织跨团队协作、推动项目落地； 4.具有良好的逻辑思维和快速解决问题能力，能够在复杂的客户系统及应用场景中迅速帮助客户定位问题并提出可行的解决方案； 5.对大数据相关技术具有强烈的兴趣，具有较强的持续学习和自我驱动能力； 6.公有云大数据产品相关经验者优先。,2026-03-14
大数据开发工程师,深圳合生网络科技有限公司,深圳-罗湖区,1.5-2.2万/月,深圳-罗湖区 大专 招5人 03-14发布,民营公司,50-150人,计算机软件,"工作职责: 1、参与实时大数据平台的数据存储、计算、监控、分析、机器学习等模块开发，打造稳定可靠的平台化、可视化、自动化的交互式大数据平台； 2、负责基于大数据平台的应用设计、开发和维护及性能提升； 任职资格: 1、大专及以上学历 2、至少2年以上的Java开发经验，3年以上大数据应用系统的开发和设计经验； 3、熟悉Hadoop生态圈技术体系，如Hadoop、Hive、Spark、Flink、Impala等； 4、熟悉Hive、HBase仓库设计，深刻理解MR运行原理和机制，能进行任务执行效率的优化； 5、对常用的开源实现,如Spark ML、Caffe、Theano或ConvNet等有实践经验者优先考虑； 7、逻辑思维能力强，做事有条理，责任感强，工作积极主动，执行力强，有良好的团队协作意识。",2026-03-14
大数据开发/数据挖掘/数据分析工程师（人才培养）,上海海笛数字出版科技有限公司,上海-浦东新区,4.5-6千/月,上海-浦东新区 在校生/应届生 本科 招2人 03-14发布 普通话熟练 英语良好 计算机科学与技术 软件工程,民营公司,50-150人,"互联网/电子商务,文字媒体/出版",1、年龄20—28岁，全日制本科（一本/二本）及以上学历，计算机相关专业； 2、对数据分析、数据挖掘感兴趣的优秀应届生； 3、熟悉C语言，对数据结构和算法设计有较为深刻的理解； 4、热爱数据分析工作，做事有耐心，细致，善总结；良好的沟通协调能力和团队合作精神； 5、较强的逻辑分析能力、动手能力和学习能力，善于总结； 6、优先条件： ①熟悉文本的检索和排序相关知识者优先； ②有文本信息挖掘和处理能力者优先； ③有自然语言编程、机器学习等相关经验者优先。 ★★★请将您饱含激情的简历发给我们： 欢迎关注Dict.cn官方微博：http://e.weibo.com/idict 招聘专用邮箱：hr@dict.cn 招聘QQ：*****,2026-03-14
数据科学家,上海氪信信息技术有限公司,上海-长宁区,2-3万/月,上海-长宁区 3-4年经验 本科 招若干人 03-14发布,创业公司,少于50人,"计算机软件,金融/投资/证券","客户以银行类为主，有出差/驻场的需要。 【岗位职责】 1、负责项目的需求调研，了解业务逻辑，进行数据分析从而把需要解决的业务问题转化为机器学习/数据挖掘问题； 2、负责从数据获取、数据清理、统计分析和数据建模（机器学习模型）整个流程工作； 3、使用先进的机器学习技术，针对性的设计方案，根据设计的方案部署实施整个机器学习系统，解决客户的核心问题；? 4、负责机器学习模型的构建，并且与工程师合作对模型进行维护、部署和评估； 5、设计线上线下实验方案，与客户沟通并完成实验，迭代优化机器学习系统效果。 【任职要求】 1、统计学、应用数学、计算机等相关专业硕士及以上学历； 2、至少2年以上数据科学相关工作经验，深厚的机器学习基础，精通主流机器学习模型算法，并热衷于利用机器学习技术解决现实问题； 3、扎实的编程经验，熟练运用Python/R/Java/C++等编程语言；? 4、熟悉Hadoop和Spark平台，熟悉相关工具来处理海量数据，具有互联网行业数据经验优先?； 5、较强的沟通能力、学习能力和动手能力； 6、思维敏捷，良好的逻辑分析能力、良好的沟通及组织能力。 【优先条件】 1、精通一门编程语言，熟练使用常用算法和数据结构，对算法有较强的实现能力； 2、熟悉脚本语言，有搭建使用复杂系统的能力； 3、有机器学习、数据挖掘、信息检索等相关领域的理论背景，有研究或应用相关的工作经验； 4、参加过机器学习与数据挖掘相关竞赛（Kaggle, KDD Cup等）。",2026-03-14
数据分析师（精品+急聘）,深圳海润天恒科技有限公司,深圳-宝安区,0.5-1.2万/月,深圳-宝安区 1年经验 本科 招2人 03-14发布,民营公司,50-150人,"互联网/电子商务,贸易/进出口",数据分析师（精品)岗位职责： 1.负责跨境电商亚马逊平台产品的类目分析，市场调研和产品发掘； 2.利用公司大数据资源进行产品数据分析和调研 3.了解产品的国际市场动态及需求数据分析 4.做好产品的前期调查，了解产品特性，对产品进行数据建模分析，分析利润和市场前景 5. 跟踪和研究日常数据，及时改进产品的体验完善 6. 负责供应链数据的统计分析 7. 能有效规避欧美市场知识产权 8. 熟悉欧美/日本市场的消费习惯 9. 欢迎优秀应届毕业生或有志于跨境电商行业的优秀人才 岗位要求 1. 本科学历，统计学/日语/数学专业，对数据敏感，具备较好的数据收集，整理和分析能力 2. 较强的逻辑分析能力和良好的判断力 3. 具备一定的英语阅读能力，英语过大学四六级 4. 为人诚实可靠、品行端正，沟通能力强 5. 具备快速学习和运用新知识、新工具的能力 6. 有跨境电商产品开发经验、有志于在跨境电商或外贸行业发展者优先 职位待遇： 基本工资（5K-12K）+提成奖金。具体面议，公司提供业界有竞争力的薪酬待遇，较完善的薪酬制度保障小伙伴的付出与收获成正比； 我们提供什么? 1、公司管理架构扁平化，工作氛围轻松愉快。90%以上员工为90后，30%以上95后，沟通无障碍； 2、优秀应届毕业生或小白入职一年收入可超20W； 3、浓厚的学习与分享氛围助你快速成长为行业精英，我们提供系统化、领先于同行的培训体系； 4、新人将收获一对一帮带、手把手指导，快速入门； 5、公司具备完整的供应链体系、产品开发、IT等技术支持； 6、公司交通便利，临近地铁1号线坪洲站、宝体站，11号线碧海湾站、宝安站，周边生活便利，临近壹方城、大仟里等商圈，步行5分钟即可到美食街 7、公司提供完善、透明化的晋升机制以及优厚的薪酬体系； 8、我们提供以下福利List： （1）入职缴纳五险一金（很多其他公司没有公积金哦~）； （2）试用期按个人需求可提供免费半个月的品牌公寓住宿/一个月（个人承担一半房租） （3）带薪假期：享受法定节假日、年休假、婚假、产假、生育假、陪护假等带薪假期； （4）完善的培训：公司重视员工个人发展，例行培训、部门培训、岗前培训、专题培训等全方位的培训 （5）丰富文娱生活：公司每年举行一次年会活动，有乒乓球台、公司园区有羽毛球场及篮球场等、定期组织各种文娱活动、定期组织员工团队聚餐、不定期组织国内外旅游； （6）零食不限制供应、每周五丰富的下午茶，微波炉电冰箱自助售货机一应俱全，应有尽有。 （7）关注员工身体素质，开展不定期户外活动和体检项目。 （8）读书与学习基金：每年可报销1000人民币以内读书学习费用 （9）各种小惊喜：生日Party，生日礼物、传统节日过节礼品、春节红包、突出贡献大奖 （10）试用期2-3个月，能力出色者可提前转正； 我们承诺：更多的福利将随着公司发展不断完善！！！ 我们的团队是由85、90后一群充满活力和凝聚力的精英组成，拥有理想，内心澎湃，勤奋踏实的年轻人，为着共同的梦想努力奋斗；我们深信“人才”是公司的未来，公司的财富就是我们的员工。公司坚持以人为本，充分尊重、培养和优待人才，员工与公司共同成长；加入我们，你将是团队里很重要的一员！梦想有多大，舞台就有多大！我们诚挚期待您的加入！,2026-03-14
数据开发工程师,广州米多网络科技有限公司,广州-天河区,1.5-2万/月,广州-天河区 3-4年经验 本科 招若干人 03-14发布,民营公司,50-150人,互联网/电子商务,岗位职责： 1、负责数据的收集、处理、整合及数据建模； 2、负责数据分析及挖掘； 3、负责数据仓和多维数据构建； 4、负责平台搭建及数据开发； 任职要求： 1、计算机专业本科毕业，3年以上数据开发工作经验； 2、有工作责任心，思维清晰，具备良好的团队合作精神，有一定的承压能力； 3、熟悉分布式系统概念和架构； 4、熟悉概率统计学和机器学习； 5、精通HBase/Kudu/Clickhouse/Spark/ElasticSearch/Kafka/Flume/DataX/StreamSets等，并熟悉SSIS及SSAS技术； 6、精通Scala/Python/Java，并熟悉C#语言开发；,2026-03-14
生物信息数据分析师,苏州凌点生物技术有限公司,异地招聘,0.6-2万/月,昆山 2年经验 本科 招3人 03-14发布 生物医学工程 数学与应用数学,民营公司,少于50人,"学术/科研,制药/生物工程",工作职责： 1. 运用统计学方法，各类生物信息软件和现有流程，对高通量测序及基因芯片产生的数据进行分析； 2. 相关生物信息数据的采集、整理、挖掘和利用，比如GEO、TCGA数据库来源的数据； 3. 根据客户对相关数据分析后的要求，进行生物信息学数据的整理、分析，出具分析报告并负责对所分析数据进行问题解答； 4. 能够根据要求，完成部分流程的搭建。 任职要求： 1. 具有生物信息学、分子生物学、计算机或数理学相关专业本科及以上学历； 2. 熟悉常用生物信息数据库，如TCGA、GEO、 UCSC、Kegg、 NCBI、EBI； 3.了解生物统计学相关知识； 4. 具有较好的程序编程能力，熟悉Perl、Python、R中的一种或一种以上； 5. 具有高通量测序及基因芯片数据项目分析经验者优先。,2026-03-14
金蝶数据开发工程师,杭州瑞东机械有限公司,杭州,20-30万/年,杭州 2年经验 大专 招若干人 03-14发布,上市公司,500-1000人,"仪器仪表/工业自动化,机械/设备/重工","任职要求： 1、熟悉sql server金蝶数据库,能在此数据库上做开发端口对接； 2、精通金蝶表结构； 3、金蝶K3 wise数据交换成K3 cloud； 4、要对ERP业务流程以及业务逻辑要有一定理解和清楚。（ERP中涉及到各单据之间的关联关系）",2026-03-14
