岗位,公司,城市,工资,工作经验,学历,福利,公司性质,公司规模,岗位要求
软件架构师-大数据产品（央企）,云启智慧科技有限公司,武汉-江汉区,1.5-2.5万/月,5-7年经验,本科,交通补贴 餐饮补贴 五险一金 通讯补贴 绩效奖金 年终奖金 员工旅游 弹性工作 做五休二 补充医疗保险,国企,50-150人,"公司性质：央企背景工作地点：武汉市江汉区圈外创智中心工作时间：弹性工时学历要求：计算机相关专业，本科及以上学历经验要求：有五年及以上java开发经验和两年及以上架构经验岗位职责：1.负责教育大数据产品技术选型、技术可行性分析、系统框架搭建和设计，2.负责大数据存储和计算关键等关键技术攻关，带领团队解决高并发、高可靠性等各种技术难题；3.负责分布式系统的设计、Saas平台设计；4.负责核心代码编写，参与代码评审5.负责相关技术规范的制定6.负责或参与专利编写；技能要求：1、计算机相关专业，本科及以上学历,5年以上Java开发经验和两年及以上架构经验；2、必须具备独立开展Java开发工作的能力，熟练掌握Java语言，基础扎实，熟悉Linux操作；3、熟悉分布式系统的设计和应用，熟悉分布式、缓存、消息、负载均衡等机制和实现，具备集群技术、数据同步、高可用、可容灾分布式系统设计能力，熟练使用Spring、S pringMVC、Springboot、Spring Cloud、Dubbo、MyBat is等开源框架并了解工作原理；4.精通Hadoop、Hive、HBase、Spark的技术原理及优化，熟悉kafka/flume/zookeeper/ES等组件，熟悉大数据技术生态；5.熟悉常用的RDBMS、NoSQL数据库，精通JAVA语言，包括JVM、类装载、线程、并发、IO资源管理、网络等，具备较强的研究分析能力、技术攻关能力；6.具备大数据产品架构设计成功经验，掌握高性能、高扩展架构设计方法；素质要求：1、良好的沟通能力，团队合作能力，热衷于技术对新技术以及新的应用比较敏感；2、热爱技术研发工作，有良好的工作责任感和团队合作能力；"
软件开发工程师（物联网）,上海轶伦环境科技有限公司,上海-松江区,0.8-1.5万/月,2年经验,本科,五险一金 出国机会 专业培训 绩效奖金 年终奖金 定期体检 做五休二 团建 年底双薪 交通补贴,民营公司,少于50人,"工作地点在：松江漕河泾园区内，通勤距离不适者、不能线下来面试的、找***的，请勿投！！！职责描述：1、负责物联网项目整体设计、体系及其标准制定和功能模块设计；2、负责物联网数据传输协议技术开发； 3、解决项目当中遇到的问题，进行系统性能优化，安全加固，保证平台安全、稳定、快速运行；4、及时处理和解决开发过程中出现的技术问题，并向主管提供技术维护和解决方案；5、完成技术文档资料的整理和归档工作；6、参与部门新技术的培训和学习，不断提高自身技术水平； 任职要求：1、本科以上学历，具有3年以上java物联网应用的相关项目开发经验；2、有物联网硬件对接平台的相关经验；3、Java基础扎实，理解io、多线程、集合等基础框架，对JVM原理有一定的了解；4、精通Spring、SpringMVC等框架的设计思想和实现方式；5、有一定前端经验，对前端开发框架和类库，如Vue，jQuery等有一定了解，能开发常见的web页面；6、熟练掌握基于网络通信协议，如TCP、UDP、MQTT以及Socket等的编程；7、精通物联网技术原理，熟悉物联网相关技术趋势,熟悉物联网低功耗广域组网技术（如NB-IoT，LoRa）有相关开源项目经验优先；8、熟悉无线传感网络、以太网、现场总线等通讯技术，了解ZigBee、Wi-Fi、蓝牙等技术；9、熟悉Linux下的常用命令；10、有物联网行业项目经验优先（智能家居、智能控电）高新技术企业，氛围超级好，老板Nice，同事很Cute，多元化员工生活；五险一金，各种带薪假期，病假，婚假，产假，男员工陪产假等；五天八小时，周末双休工作制，全勤奖金、生日福利、节日福利统统都有；入职培训，产品培训等培训课程；“数不胜数”的高技能，优秀员工带你晋升升级；绩效奖金，年度优秀员工、不定时加薪、年终奖+13薪统统都有；"
高级软件开发工程师（知识图谱开发方向）,重庆云华科技有限公司,重庆-九龙坡区,1.5-2万/月,3-4年经验,本科,,民营公司,50-150人,职位职责要求：一、工作职责概述1、 负责后端开发工作及系统架构设计；2、 规范技术开发标准，提高开发工作质量；2、组织本部门人员的培训、技术指导以及技术难点的突破工作。3、协助项目经理做好线上支撑工作。二、质量管理：1、负责技术架构设计、重构、优化，根据业务规划及技术规划制定应用架构方案，构建统一技术栈和系统框架。2、组织审定部门各项技术标准，编制、完善软件开发流程，并组织部门人员进行研究讨论。3、撰写软件设计及开发文档规范。4、作为新技术的先行者进行技术调研，把握技术发展方向，使得技术发展方向与主流技术合拍，撰写可行性报告。5、负责软件开发流程的执行监督和改进。6、持续发现系统中存在的性能、架构等问题并提出改进方案。7、抓好本部门项目组总结分析报告工作，定期进行项目分析、总结经验、找出存在的问题，提出改进工作的意见和建议，为公司领导决策提供专题分析报告或综合分析资料。三、核心技术工作：1、参与软件产品的需求分析、架构设计、编码工作。2、负责解决研发和日常维护中的技术难点和技术把关3、负责软件产品的架构设计、数据库设计、功能设计和核心模块及基础组件开发。4、指导帮助初、中级软件工程师，培养高级工程师。四、其他工作：兼顾项目软件开发、由于组织结构或业务流程变化所产生的新工作任务、领导交办的其他任务职位要求：1、本科及以上学历，软件、计算机相关专业。2、5年以上软件开发工作经验，负责过软件项目的设计与开发。3、熟悉Spring/SpingMVC、SpingBoot、SpringCloud、MyBatis等框架的运行原理，有具体项目经验，能够解决相关领域问题。4、熟悉Web前端技术Vue框架、Html、Css、Javascript、Ajax，了解jQuery、EasyUI或其它框架中的一种。5、熟悉Oracle、MySQL数据库并具备相关开发经验，了解数据库的体系、开发、性能优化等技术者优先虑。6、具有开发技术管理经验优先（实操）。
数据开发工程师（BI方向/软件后端）,江苏景枫投资控股集团有限公司,南京-江宁区,1.3-2.2万/月,5-7年经验,本科,周末双休 带薪年假 五险一金 节日福利 交通补贴 餐饮补贴 通讯补贴 包住宿,民营公司,500-1000人,岗位职责：1. 负责大数据平台的搭建；2. 负责基于大数据平台的数据仓库的设计、开发及优化；3. 负责大数据BI系统的设计、开发、测试和上线，满足公司业务运营和管理的数据分析需求;4. 参与公司大数据平台的规划设计；5. 按规范要求编写代码，保证产品的持续敏捷开发，并保证线上稳定运行；6. 编写研发过程中的相关文档等。任职要求：1. 计算机相关专业本科及以上学历，3年以上工作经验；2. 熟悉数据产品的全周期过程，在用户行为数据采集、海量数据处理、数据建模、基于数据的业务理解等方面有丰富的经验；3. 精通Hadoop/MapReduce/Hive，有一定的hql/sql性能调优经验；4. 熟悉Java/Python/Shell/Mysql，有相关开发经验；5. 良好的学习能力，善于主动思考及行动，勇于解决具有挑战性的问题；6. 良好的沟通交流能力、逻辑思维能力强、责任心强，富于团队合作精神和敬业精神；7. 有数据分析思维，参与过Echarts等开源图表展示相关工作的更佳；8. 对数据及相关业务敏感、对新技术敏感、对数据产品设计有想法者优先。
大数据工程师,云南升玥信息技术有限公司,昆明-西山区,1-1.5万/月,3-4年经验,本科,五险一金 年终奖金 交通补贴 餐饮补贴 绩效奖金 年底双薪 定期体检 节日福利 周末双休,民营公司,50-150人,1.三年及以上数据应用类项目相关工作经验，熟练掌握数据抽取、清洗和加载等相关ETL工作技能，熟练使用过kettle优先考虑；2.了解数据库原理，熟悉Oracle等数据库，熟练掌握SQL语句、存储过程；对于数据库日常性能问题排查具备一定经验；3.具备数据分析类系统、数据仓库和数据集市支撑建设经验，有数据采集、清洗和数据挖掘分析支撑经验；4.熟悉linux命令；5.对数据治理有实质性支撑经验、了解或使用过hadoop体系（hive、hue）等大数据工具者优先。 职能类别：大数据开发工程师 关键字：
大数据技术研究中心-大数据操作系统研发工程师社招,南湖实验室,嘉兴,1.6-2.5万/月,1年经验,硕士,,事业单位,,岗位职责：1.根据单位的整体工作要求，完成交办的各项项目相关任务2.负责项目的整体交付，保证项目交付优质高效3.负责项目过程中的技术攻关及技术支持等工作4.负责项目所需的各类文档的撰写工作5.完成领导安排的其他工作任职要求：1.硕士研究生，计算机相关专业；2.熟练掌握Java/Scala，熟悉多线程，具有规范的编程习惯；3.熟悉大数据技术，熟悉Hadoop、Spark、Flink、DeltaLake等源码者优先；4.熟悉MySQL、MongoDB等数据库，熟悉SQL性能优化；5.熟悉缓存、消息等机制，如Redis、Kafka、ActiveMQ、RabbitMQ、Zookeeper等；6.熟悉Linux、Windows服务器运行环境、服务器基本操作命令；7.具有较强的沟通能力、团队合作能力，具有创新意识；8.具有2年以上工作经验者优先，有SDK研发工作经验者优先；9.有工作经验者优先。
大数据开发工程师 (MJ000651),锦江信息技术(广州)有限公司,广州-海珠区,1-1.5万/月,3-4年经验,本科,年终奖金 补充医疗保险 专业培训 餐饮补贴 五险一金 定期体检 周末双休 五天工作制,民营公司,500-1000人,"岗位职责：（1）负责大数据项目系统开发工作。（2）负责标签系统，精准营销系统，场景化营销系统开发以及维护工作。（3）负责大数据平台的数据处理流程开发，包括数据清洗、整合、统计、挖掘、分发等；（4）负责大数据平台系统持续性优化工作，确保提供高可靠数据服务,保证系统稳定、高效运行。任职要求：（1）本科及以上学历，2年及以上互联网大数据开发工作经验。（2）精通MPP、Hadoop分布式架构原理，有Spark/Hbase/MR/Flink等大数据组件实战项目开发经验。（3）精通sql，熟练掌握MySQL/PostreSql等关系型数据库开发。（4）掌握大数据周边相关开发技能，如Redis、kafka、flume等。（4）至少精通一种开发语言（java，python，scala等）。 （6）具备AWS/华为云等云端大数据项目开发经验优先。 （8）有高并发高可用数据系统开发经验优先；"
大数据平台技术工程师,苏州博乐企业管理有限公司,上海,40-50万/年,3-4年经验,本科,专业培训 弹性工作 餐饮补贴 全勤奖 年终奖金 员工旅游 一对一指导 五险一金 每年多次调薪 节日额外福利,民营公司,50-150人,1、负责电池监控平台平台的功能开发、维护等工作； 2、参与系统架构设计工作、构建提供实时、离线的数据分析功能。能够提供大数据处理指标监控分析和优化方案建议。任职要求：1、本科及以上学历，3年及以上大数据相关研发经验； 2、熟悉python、spark、hbase、Sqoop、elasticsearch，熟悉hadoop生态；熟悉fink实时计算框架； 3、熟练使用常用java技术框架，python语言开发脚本工具及有BI开（Spark、SQL、Hive、大数据DBA等） 4、对高稳定可用性、高性能、大数据处理有过实际项目及产品经验； 5、了解新能源电池行业者优先。
物联网工程师,重庆博腾制药科技股份有限公司,重庆-渝北区,1.1-2万/月,3-4年经验,本科,,上市公司,1000-5000人,1.负责物联网平台架构设计和开发；2.负责工业子系统、网关、智能物联网关、智能设备等数据通讯协议集成设计；3.参与物联网平台落地实施方案设计；4.协助管理产品研发技术团队，解决技术难题。任职要求：1.统招本科及以上学历，通信工程、计算机应用技术、电子与计算机工程、电子与通信原理、电子信息工程；2.精通数据传输架构设计及相关技术，具备数据传输方案设计能力；3.了解Java开发或C语言开发，熟练掌握SpringBoot框架及应用开发为佳；4.熟悉主流数据集成架构，至少熟悉一种主要技术框架（flume、flink、Spring Integration、Spring Batch等）；5.具备1个以上数据采集、数据集成或物联数据采集项目经验为佳；6.熟悉工业数据传输和物联传输网络及通讯协议（Modbus、104、MQTT、CoAP等）；7.熟悉流媒体、音视频文件等非结构化数据传输技术；8.学习能力强，能够快速学习和掌握新技术。
物联网系统工程师,临海市新睿电子科技有限公司,深圳-宝安区,1-2万/月,2年经验,本科,补充医疗保险,国企,,岗位职责：1、负责公司WEB、公众号、小程序产品开发维护工作；2、根据产品功能需求设计并完成代码编写实现；3、关注用户体验，持续进行框架优化、性能优化、系统优化重构等工作；4、独立负责前端项目。 任职要求： 1、本科或以上学历，电子、通讯、自动化等相关专业； 2、两年或以上相关工作经验； 3、熟悉物联网技术，以及常用的物联网协议MQTT、CoAP、Modbus等； 4、熟悉数据库、熟悉C或者C++，C#，PHP，JAVA等编程； 5、熟练掌握H5，Css3，熟知MVC/MVVM原理，有扎实的JavaScript基础； 6、有物联网项目经验等优先考虑；具备前后端项目经验者优先； 7、具备高度的责任心和敬业精神，良好的团队合作精神。 职能类别：系统工程师 关键字：视频转播系统集成网络安全集成
